State,County,factor_1,contribution_1,factor_2,contribution_2,factor_3,contribution_3,predicted_life_expectancy,actual_life_expectancy
Arkansas,Boone,% Food Insecure,-0.899814937,Household Income (Pacific Islander),-0.275334152,Obesity among adults aged >=18 years,0.24924627379637607,74.39514087598764,74.2
Arkansas,Bradley,% Food Insecure,-0.899814937,Household Income (Pacific Islander),-0.613047868,Current asthma among adults aged >=18 years,-0.494419065,71.9044233,71.5
Arkansas,Carroll,% Food Insecure,-0.647490898,Current asthma among adults aged >=18 years,0.43633317220281276,Household Income (Pacific Islander),-0.338294281,74.77414690452406,75.3
Arkansas,Chicot,% Food Insecure,-1.656787054,Current asthma among adults aged >=18 years,-0.959795184,% Unemployed,0.7747713827498881,69.34905245105358,69.8
Arkansas,Clay,% Food Insecure,-1.656787054,Cervical cancer screening among adult women aged 21-65 years,-0.682146736,Household Income (Pacific Islander),-0.521918309,72.12145610962244,72.8
Arkansas,Columbia,% Food Insecure,-1.152138976,E_TOTCR,-0.817054417,Obesity among adults aged >=18 years,-0.653128338,71.18541074453022,71.5
Arkansas,Conway,% Food Insecure,-1.656787054,E_TOTCR,-0.412954214,Household Income (Pacific Islander),-0.341866281,72.17387590401385,73.1
Arkansas,Crawford,% Food Insecure,-1.152138976,E_TOTCR,-0.412954214,Obesity among adults aged >=18 years,-0.297384501,73.34995391111549,73.2
Arkansas,Cross,% Food Insecure,-1.404463015,Household Income (Pacific Islander),-0.521744065,Current asthma among adults aged >=18 years,-0.494419065,71.32330565,70.9
Arkansas,Drew,% Food Insecure,-1.152138976,Current asthma among adults aged >=18 years,-0.494419065,Household Income (Pacific Islander),-0.490467286,72.54607046812927,72.4
Arkansas,Franklin,% Food Insecure,-1.656787054,Cervical cancer screening among adult women aged 21-65 years,-0.49152728,E_TOTCR,-0.412954214,72.19113870165049,72.3
Arkansas,Fulton,% Food Insecure,-1.152138976,Cervical cancer screening among adult women aged 21-65 years,-0.586837008,Current asthma among adults aged >=18 years,-0.571981752,72.55925854713583,72.8
Arkansas,Greene,% Food Insecure,-1.404463015,Sleeping less than 7 hours among adults aged >=18 years,0.3061088638523282,E_UNEMP,-0.301829639,72.97095348042419,73.5
Arkansas,Hot Spring,% Food Insecure,-1.404463015,E_TOTCR,-0.595321927,Household Income (Pacific Islander),-0.344654183,72.73485981,72.2
Arkansas,Howard,% Food Insecure,-0.899814937,Household Income (Pacific Islander),-0.53222774,Current asthma among adults aged >=18 years,-0.494419065,71.78138454297694,72.4
Arkansas,Independence,% Food Insecure,-1.404463015,E_TOTCR,-0.412954214,Cervical cancer screening among adult women aged 21-65 years,-0.324735255,72.99383240578906,73.4
Arkansas,Izard,% Food Insecure,-1.909111093,Household Income (Pacific Islander),-0.531879252,% Unemployed,0.5307392403799809,72.79145299050441,73.7
Arkansas,Jackson,% Food Insecure,-1.909111093,Current asthma among adults aged >=18 years,-0.804669811,E_UNEMP,-0.621581482,70.66910331830765,70.5
Arkansas,Jefferson,Current asthma among adults aged >=18 years,-0.959795184,% Food Insecure,-0.647490898,Obesity among adults aged >=18 years,-0.644451659,71.17444568874555,70.3
Arkansas,Johnson,% Food Insecure,-1.656787054,Cervical cancer screening among adult women aged 21-65 years,-0.753629032,Household Income (Pacific Islander),-0.442811579,72.48507790217353,73.4
Arkansas,Lawrence,% Food Insecure,-1.656787054,Household Income (Pacific Islander),-0.482655351,E_TOTCR,-0.412954214,71.42770619270179,71.3
Arkansas,Lee,% Food Insecure,-1.656787054,E_UNEMP,-1.206724004,Current asthma among adults aged >=18 years,-0.882232497,68.65562293616766,68.9
Arkansas,Little River,Household Income (Pacific Islander),-0.487824586,Current asthma among adults aged >=18 years,-0.416856379,E_TOTCR,-0.412954214,72.50675809811347,71.8
Arkansas,Lonoke,E_TOTCR,-0.412954214,% Food Insecure,-0.395166859,% Unemployed,-0.305942391,74.91223676393918,74.1
Arkansas,Miller,% Food Insecure,-1.152138976,E_TOTCR,-0.466973744,Household Income (Pacific Islander),-0.441824197,71.95711667589558,71.4
Arkansas,Monroe,% Food Insecure,-1.404463015,Current asthma among adults aged >=18 years,-1.347608616,Household Income (Pacific Islander),-0.726132158,68.80608028,68.8
Arkansas,Montgomery,% Food Insecure,-1.909111093,Cervical cancer screening among adult women aged 21-65 years,-0.563009576,Household Income (Pacific Islander),-0.483352326,72.58005021,71.9
Arkansas,Newton,% Food Insecure,-0.647490898,Household Income (Pacific Islander),-0.56129743,Cervical cancer screening among adult women aged 21-65 years,-0.300907823,74.11865519355175,73.6
Arkansas,Ouachita,% Food Insecure,-1.152138976,Current asthma among adults aged >=18 years,-1.03735787,E_TOTCR,-0.842976097,70.05729742830158,70.8
Arkansas,Phillips,% Food Insecure,-1.909111093,Current asthma among adults aged >=18 years,-1.657859362,E_UNEMP,-1.11123016,68.21777687,67.4
Arkansas,Polk,% Food Insecure,-1.404463015,Cervical cancer screening among adult women aged 21-65 years,-0.682146736,Household Income (Pacific Islander),-0.518927122,71.42496726793634,72.2
Arkansas,Pope,% Food Insecure,-1.152138976,E_TOTCR,-0.412954214,Sleeping less than 7 hours among adults aged >=18 years,0.33896959313039454,74.24396631867052,75.1
Arkansas,Prairie,% Food Insecure,-0.647490898,E_TOTCR,-0.412954214,Current asthma among adults aged >=18 years,-0.339293692,73.1898306,72.8
Arkansas,Pulaski,E_TOTCR,-0.527869377,Cervical cancer screening among adult women aged 21-65 years,0.5092248667929345,% Food Insecure,-0.395166859,73.70584045057772,73.8
Arkansas,Randolph,% Food Insecure,-1.656787054,Cervical cancer screening among adult women aged 21-65 years,-0.658319304,E_TOTCR,-0.412954214,71.27288691654157,72.1
Arkansas,St. Francis,% Food Insecure,-1.656787054,Obesity among adults aged >=18 years,-1.034902212,Household Income (Pacific Islander),-0.694855379,70.02016899163453,70.4
Arkansas,Saline,Current asthma among adults aged >=18 years,0.591458545,Cervical cancer screening among adult women aged 21-65 years,0.4377425706118953,E_TOTCR,-0.428363447,76.40730689164255,75.5
Arkansas,Sebastian,% Food Insecure,-1.404463015,E_TOTCR,-0.412954214,Cervical cancer screening among adult women aged 21-65 years,-0.300907823,72.84431789806003,73.5
Arkansas,Sevier,% Food Insecure,-1.404463015,E_TOTCR,-0.412954214,Cervical cancer screening among adult women aged 21-65 years,-0.396217552,72.75784951558981,72.2
Arkansas,White,% Food Insecure,-1.152138976,E_TOTCR,-0.412954214,Household Income (Pacific Islander),-0.274637177,72.55517263504936,72.8
Arkansas,Yell,% Food Insecure,-0.899814937,Cervical cancer screening among adult women aged 21-65 years,-0.7298016,E_TOTCR,-0.412954214,73.46146814211164,73.9
California,Alameda,% Asian,2.003751833071974,Household Income (Pacific Islander),1.5564338713419228,Current asthma among adults aged >=18 years,1.2895227231207005,82.85354644140283,82
California,Amador,% Food Insecure,0.8664533367386357,Obesity among adults aged >=18 years,0.5442533583418466,% Unemployed,0.5307392403799809,78.05527720063725,78.5
California,Butte,% Unemployed,0.5656009750042535,E_TOTCR,-0.433634734,Cervical cancer screening among adult women aged 21-65 years,-0.396217552,75.16056427087034,75.7
California,Colusa,% Unemployed,3.2848162756975032,% Food Insecure,-0.395166859,Obesity among adults aged >=18 years,0.3793964581546717,78.49143205688564,79.2
California,El Dorado,Household Income (Pacific Islander),1.2030962858451162,% Food Insecure,1.118777375802807,Obesity among adults aged >=18 years,0.7785236901867792,80.87761620060297,80.6
California,Fresno,% Unemployed,1.3674208713625193,Cervical cancer screening among adult women aged 21-65 years,-0.658319304,% Asian,0.6435644482663974,75.61360461981988,75.9
California,Glenn,% Unemployed,0.9490800558712502,Cervical cancer screening among adult women aged 21-65 years,-0.443872416,Obesity among adults aged >=18 years,0.3620431002402323,75.62153591481975,75.4
California,Humboldt,Obesity among adults aged >=18 years,0.7177869374862412,Sleeping less than 7 hours among adults aged >=18 years,0.49231966309470615,E_UNEMP,-0.478830925,75.67740947864667,75.8
California,Kings,% Unemployed,1.6114530137324263,E_UNEMP,-0.513011336,Cervical cancer screening among adult women aged 21-65 years,-0.396217552,76.27577482812069,76.6
California,Lake,% Unemployed,0.7747713827498881,E_UNEMP,-0.670094504,Obesity among adults aged >=18 years,0.46616324772686896,74.76243714862566,74.1
California,Los Angeles,Current asthma among adults aged >=18 years,1.211960037,% Asian,0.8753452582332671,Obesity among adults aged >=18 years,0.7438169743579002,78.78532329510466,79.4
California,Marin,Household Income (Pacific Islander),2.1362885248813934,% Food Insecure,1.3711014148669785,Obesity among adults aged >=18 years,1.229710995962205,83.58936670226376,84.3
California,Napa,% Food Insecure,1.118777375802807,Household Income (Pacific Islander),1.0116022413998182,Current asthma among adults aged >=18 years,0.9017092908852968,80.85818771891313,81.2
California,Nevada,Obesity among adults aged >=18 years,1.1516208853472276,% Food Insecure,0.8664533367386357,Sleeping less than 7 hours among adults aged >=18 years,0.711391192,79.81197620919237,80
California,Orange,Current asthma among adults aged >=18 years,1.4446480960148629,% Asian,1.3450063731661344,Household Income (Pacific Islander),1.281651243416322,81.66377952,81.3
California,Placer,% Food Insecure,1.3711014148669785,Household Income (Pacific Islander),1.288969487153085,Obesity among adults aged >=18 years,1.1776509222188865,81.07753784408996,81.2
California,Plumas,% Unemployed,1.2976974021139744,Obesity among adults aged >=18 years,0.8305837639300975,Sleeping less than 7 hours among adults aged >=18 years,0.43755178096459507,78.27956586153758,78.2
California,Riverside,% Food Insecure,0.8664533367386357,Household Income (Pacific Islander),0.7148648822639285,Current asthma among adults aged >=18 years,0.591458545,78.35269783,77.8
California,Sacramento,% Asian,1.040031623209727,E_TOTCR,-0.757702865,Household Income (Pacific Islander),0.7071110287809296,77.98922829214544,78
California,San Benito,Household Income (Pacific Islander),1.1464379781847014,% Food Insecure,0.8664533367386357,% Unemployed,0.8444948519984329,80.60214924,79.9
California,San Diego,Household Income (Pacific Islander),1.098927475,Current asthma among adults aged >=18 years,1.0568346637794592,Obesity among adults aged >=18 years,0.9347039114167344,80.69701956316523,80.3
California,San Luis Obispo,% Food Insecure,0.8664533367386357,Sleeping less than 7 hours among adults aged >=18 years,0.7332983444671943,Household Income (Pacific Islander),0.7020289150748442,79.70781325706486,80.7
California,San Mateo,Household Income (Pacific Islander),2.479171476468538,% Asian,1.9183589030841803,Current asthma among adults aged >=18 years,1.7548988418031857,85.09691218116868,84.1
California,Solano,% Food Insecure,1.118777375802807,% Asian,0.9729371782193174,Household Income (Pacific Islander),0.9723392829390898,79.68526606383998,78.8
California,Sonoma,Household Income (Pacific Islander),1.0025415586781117,% Food Insecure,0.8664533367386357,Obesity among adults aged >=18 years,0.8566138008017566,80.23058184232147,80.6
California,Sutter,% Unemployed,1.4720060752353366,% Asian,1.0278326332114707,Cervical cancer screening among adult women aged 21-65 years,-0.848938761,77.65644344185252,77.3
California,Tehama,% Unemployed,0.7747713827498881,Current asthma among adults aged >=18 years,-0.416856379,E_TOTCR,-0.412954214,74.42500825004775,74.3
California,Tulare,% Unemployed,2.2389642369693306,Cervical cancer screening among adult women aged 21-65 years,-0.753629032,% Food Insecure,-0.647490898,75.66073477810055,75.5
California,Ventura,Household Income (Pacific Islander),1.1875014569298714,Obesity among adults aged >=18 years,0.9694106272456132,% Food Insecure,0.8664533367386357,80.73912220769402,80.7
California,Yolo,% Asian,0.8814447532323952,Obesity among adults aged >=18 years,0.7438169743579002,Household Income (Pacific Islander),0.7421921336777936,79.42289014903811,79.9
Colorado,Archuleta,Obesity among adults aged >=18 years,1.038824058903371,Sleeping less than 7 hours among adults aged >=18 years,0.7880662265973054,% Food Insecure,0.6141292976744643,79.71407152096424,79.6
Colorado,Bent,% Food Insecure,-1.404463015,Cervical cancer screening among adult women aged 21-65 years,-0.705974168,Household Income (Pacific Islander),-0.600415186,74.50028502400524,74.8
Colorado,Boulder,Obesity among adults aged >=18 years,1.6895749806948506,Sleeping less than 7 hours among adults aged >=18 years,1.1166735193779718,Current asthma among adults aged >=18 years,0.9792719773323787,82.76249371014224,82.3
Colorado,Custer,Obesity among adults aged >=18 years,1.0041173430744919,% Food Insecure,0.8664533367386357,Sleeping less than 7 hours among adults aged >=18 years,0.6894840387631056,79.56991876441192,79.2
Colorado,Delta,Obesity among adults aged >=18 years,0.7958770481012185,E_TOTCR,0.5711096298136862,Cervical cancer screening among adult women aged 21-65 years,-0.539182144,76.90259823174705,76
Colorado,Dolores,Obesity among adults aged >=18 years,0.7264636164434607,E_TOTCR,0.5711096298136862,Sleeping less than 7 hours among adults aged >=18 years,0.4813660866686838,77.63674069920386,78.5
Colorado,Garfield,Obesity among adults aged >=18 years,0.9954406641172724,% Food Insecure,0.8664533367386357,Household Income (Pacific Islander),0.8439505703984979,79.74464868194924,80
Colorado,Kit Carson,Obesity among adults aged >=18 years,0.6657268637429228,% Unemployed,-0.619698002,E_TOTCR,0.5711096298136862,76.23714418,75.6
Colorado,La Plata,Obesity among adults aged >=18 years,1.160297564304447,Sleeping less than 7 hours among adults aged >=18 years,0.7880662265973054,% Food Insecure,0.6141292976744643,80.11730883,80.3
Colorado,Larimer,Obesity among adults aged >=18 years,1.2730943907483034,Sleeping less than 7 hours among adults aged >=18 years,1.0509520608218388,% Food Insecure,0.8664533367386357,80.73366839265351,80.5
Colorado,Lincoln,Obesity among adults aged >=18 years,0.6744035427001426,E_TOTCR,0.5711096298136862,Sleeping less than 7 hours among adults aged >=18 years,0.43755178096459507,77.22188929114799,77.6
Colorado,Mesa,Obesity among adults aged >=18 years,0.622343469,Sleeping less than 7 hours among adults aged >=18 years,0.47041251024266145,E_PARK,0.4242667830662211,77.61305081358894,76.7
Colorado,Montrose,Obesity among adults aged >=18 years,0.9780873062028331,Sleeping less than 7 hours among adults aged >=18 years,0.8209269558753721,E_TOTCR,0.5711096298136862,78.31023263409014,77.9
Colorado,Morgan,Sleeping less than 7 hours among adults aged >=18 years,0.5799482745028834,Obesity among adults aged >=18 years,0.48351660564130833,Cervical cancer screening among adult women aged 21-65 years,-0.372390119,76.57116835224059,75.6
Colorado,Park,% Food Insecure,1.118777375802807,Household Income (Pacific Islander),1.1060133937340104,Obesity among adults aged >=18 years,1.0214707009889317,81.64267381211988,81.5
Colorado,Rio Blanco,Obesity among adults aged >=18 years,0.9780873062028331,E_TOTCR,0.5711096298136862,Sleeping less than 7 hours among adults aged >=18 years,0.4485053573906167,77.73200367918695,78.7
Colorado,Routt,Household Income (Pacific Islander),1.3574182986116181,Obesity among adults aged >=18 years,1.3338311434488417,% Food Insecure,1.118777375802807,82.50131600140548,83.3
Colorado,Weld,% Food Insecure,0.8664533367386357,Household Income (Pacific Islander),0.7271781177575298,Obesity among adults aged >=18 years,0.5616067162562861,78.30939830471279,78.8
Delaware,Kent,Cervical cancer screening among adult women aged 21-65 years,0.7236717553360559,Current asthma among adults aged >=18 years,-0.494419065,Obesity among adults aged >=18 years,-0.488271438,75.67528386558446,75.1
Delaware,New Castle,Household Income (Pacific Islander),0.6145875186804262,% Food Insecure,0.6141292976744643,Cervical cancer screening among adult women aged 21-65 years,0.5568797309136286,77.76039927584279,77.1
Delaware,Sussex,Cervical cancer screening among adult women aged 21-65 years,0.580707163,% Food Insecure,0.36180525861029295,Household Income (Pacific Islander),0.36175962196511446,77.01053847469049,77.1
Florida,Baker,Sleeping less than 7 hours among adults aged >=18 years,-0.701620167,Current asthma among adults aged >=18 years,0.5138958586498932,E_TOTCR,-0.412954214,74.49548630639806,73.5
Florida,Bradford,Cervical cancer screening among adult women aged 21-65 years,-0.586837008,Sleeping less than 7 hours among adults aged >=18 years,-0.504455792,E_TOTCR,-0.308448728,73.27723615,74.1
Florida,Calhoun,% Food Insecure,-0.647490898,Cervical cancer screening among adult women aged 21-65 years,-0.539182144,Household Income (Pacific Islander),-0.525984,72.43163960912469,72.7
Florida,Columbia,Sleeping less than 7 hours among adults aged >=18 years,-0.613991556,E_UNEMP,-0.295922977,Average Grade Performance,0.26777117884744567,73.32219712636392,72.4
Florida,Dixie,Cervical cancer screening among adult women aged 21-65 years,-0.872766193,Household Income (Pacific Islander),-0.425997043,% Food Insecure,-0.395166859,73.24732991758509,73.3
Florida,Flagler,Current asthma among adults aged >=18 years,0.8241466044382164,% Food Insecure,0.6141292976744643,Obesity among adults aged >=18 years,0.4574865687696494,78.06330081067935,77.9
Florida,Gilchrist,Cervical cancer screening among adult women aged 21-65 years,-0.682146736,E_MOBILE,-0.313577813,Household Income (Pacific Islander),-0.254134478,74.54702523949176,74.9
Florida,Hamilton,Cervical cancer screening among adult women aged 21-65 years,-0.705974168,% Food Insecure,-0.647490898,Household Income (Pacific Islander),-0.475540392,71.96776612331395,71.5
Florida,Highlands,Cervical cancer screening among adult women aged 21-65 years,-0.515354712,Current asthma among adults aged >=18 years,0.5138958586498932,Household Income (Pacific Islander),-0.410634539,74.92818686951462,75
Florida,Hillsborough,Current asthma among adults aged >=18 years,1.1343973502265396,E_TOTCR,-0.496380605,% Food Insecure,0.36180525861029295,76.95439105875668,77.5
Florida,Holmes,Cervical cancer screening among adult women aged 21-65 years,-0.944248489,Sleeping less than 7 hours among adults aged >=18 years,-0.526362945,Obesity among adults aged >=18 years,-0.427534685,71.27578773736546,71.1
Florida,Indian River,Current asthma among adults aged >=18 years,0.9017092908852968,Obesity among adults aged >=18 years,0.5702833952135056,% Food Insecure,0.36180525861029295,77.77831271,78.3
Florida,Lake,Current asthma among adults aged >=18 years,0.8241466044382164,% Food Insecure,0.6141292976744643,Sleeping less than 7 hours among adults aged >=18 years,-0.373012875,76.45448460591714,77.4
Florida,Leon,Current asthma among adults aged >=18 years,0.746583918,E_TOTCR,-0.412954214,% Food Insecure,0.36180525861029295,76.29707783934552,77.1
Florida,Madison,Cervical cancer screening among adult women aged 21-65 years,-0.539182144,Sleeping less than 7 hours among adults aged >=18 years,-0.537316521,E_TOTCR,-0.412954214,72.23177901,72.4
Florida,Marion,Current asthma among adults aged >=18 years,0.43633317220281276,Sleeping less than 7 hours among adults aged >=18 years,-0.362059298,E_TOTCR,-0.2837725,74.10317296668836,74
Florida,Okeechobee,Cervical cancer screening among adult women aged 21-65 years,-0.801283897,Sleeping less than 7 hours among adults aged >=18 years,-0.471595062,% Food Insecure,-0.395166859,72.80520176156932,73.2
Florida,Pasco,Current asthma among adults aged >=18 years,0.9017092908852968,% Food Insecure,0.36180525861029295,Sleeping less than 7 hours among adults aged >=18 years,-0.241569957,76.63842482779744,76.2
Florida,Pinellas,Current asthma among adults aged >=18 years,0.746583918,E_PARK,0.4246317321838742,Obesity among adults aged >=18 years,0.37071977919745214,77.17295635056294,77.6
Florida,Polk,Current asthma among adults aged >=18 years,0.6690212315440555,Cervical cancer screening among adult women aged 21-65 years,-0.396217552,Sleeping less than 7 hours among adults aged >=18 years,-0.373012875,75.18525589042008,76.1
Florida,Putnam,Cervical cancer screening among adult women aged 21-65 years,-0.7298016,% Food Insecure,-0.647490898,Sleeping less than 7 hours among adults aged >=18 years,-0.504455792,71.30099993175558,70.8
Florida,St. Johns,Current asthma among adults aged >=18 years,1.2895227231207005,Household Income (Pacific Islander),1.1803864977413518,% Food Insecure,1.118777375802807,80.91231579801607,81
Florida,Santa Rosa,Current asthma among adults aged >=18 years,0.9792719773323787,Household Income (Pacific Islander),0.6373263474339398,% Food Insecure,0.6141292976744643,77.11328662110058,76.3
Florida,Sarasota,Current asthma among adults aged >=18 years,1.211960037,Obesity among adults aged >=18 years,1.038824058903371,% Food Insecure,0.6141292976744643,79.66586857685378,80.3
Florida,Seminole,Current asthma among adults aged >=18 years,1.2895227231207005,% Food Insecure,0.8664533367386357,Obesity among adults aged >=18 years,0.6570501847857029,78.89211490411569,79.1
Florida,Sumter,Current asthma among adults aged >=18 years,1.2895227231207005,E_TOTCR,-0.412954214,Household Income (Pacific Islander),0.39782810895344634,77.54193811,78.4
Florida,Suwannee,Sleeping less than 7 hours among adults aged >=18 years,-0.504455792,Cervical cancer screening among adult women aged 21-65 years,-0.443872416,E_MOBILE,-0.33652937,73.01933197415761,72.9
Florida,Taylor,Sleeping less than 7 hours among adults aged >=18 years,-0.515409368,Cervical cancer screening among adult women aged 21-65 years,-0.467699848,Household Income (Pacific Islander),-0.43790371,73.29062048848732,72.6
Florida,Walton,Current asthma among adults aged >=18 years,0.8241466044382164,Household Income (Pacific Islander),0.48277200946944526,Obesity among adults aged >=18 years,0.4748399266840888,76.24105712171115,76.9
Georgia,Appling,% Food Insecure,-0.899814937,Sleeping less than 7 hours among adults aged >=18 years,-0.493502215,Cervical cancer screening among adult women aged 21-65 years,-0.467699848,71.56308674623422,71.5
Georgia,Baker,E_UNEMP,-0.975043308,Sleeping less than 7 hours among adults aged >=18 years,-0.548270097,Household Income (Pacific Islander),-0.516487708,72.06821753423678,71.8
